muni,muniLabel,district,districtLabel,properties,object,population
http://www.wikidata.org/entity/Q65926,Hagenbuch,http://www.wikidata.org/entity/Q644300,Winterthur District,60,83,1105
http://www.wikidata.org/entity/Q65929,Altikon,http://www.wikidata.org/entity/Q644300,Winterthur District,60,79,674
http://www.wikidata.org/entity/Q66414,Oetwil an der Limmat,http://www.wikidata.org/entity/Q180792,Dietikon District,60,84,2464
http://www.wikidata.org/entity/Q66678,Uitikon,http://www.wikidata.org/entity/Q180792,Dietikon District,60,81,4239
http://www.wikidata.org/entity/Q66829,Wangen-Brüttisellen,http://www.wikidata.org/entity/Q262156,Uster District,60,95,7892
http://www.wikidata.org/entity/Q67525,Gossau,http://www.wikidata.org/entity/Q660382,Hinwil District,60,83,9937
http://www.wikidata.org/entity/Q67909,Rorbas,http://www.wikidata.org/entity/Q680996,Bülach District,60,74,2837
http://www.wikidata.org/entity/Q67949,Dachsen,http://www.wikidata.org/entity/Q660721,Andelfingen District,60,86,1931
http://www.wikidata.org/entity/Q68356,Adlikon bei Andelfingen,http://www.wikidata.org/entity/Q660721,Andelfingen District,60,82,655
http://www.wikidata.org/entity/Q64832,Elsau,http://www.wikidata.org/entity/Q644300,Winterthur District,60,94,3616
http://www.wikidata.org/entity/Q64977,Maschwanden,http://www.wikidata.org/entity/Q656635,Affoltern District,60,84,636
http://www.wikidata.org/entity/Q65119,Pfungen,http://www.wikidata.org/entity/Q644300,Winterthur District,60,75,3831
http://www.wikidata.org/entity/Q66892,Hütten,http://www.wikidata.org/entity/Q660579,Horgen District,59,92,895
http://www.wikidata.org/entity/Q70022,Oberglatt,http://www.wikidata.org/entity/Q660407,Dielsdorf district,59,81,6964
http://www.wikidata.org/entity/Q70283,Dorf,http://www.wikidata.org/entity/Q660721,Andelfingen District,59,69,684
http://www.wikidata.org/entity/Q70381,Dättlikon,http://www.wikidata.org/entity/Q644300,Winterthur District,59,84,783
http://www.wikidata.org/entity/Q65844,Thalheim an der Thur,http://www.wikidata.org/entity/Q660721,Andelfingen District,58,74,922
http://www.wikidata.org/entity/Q66964,Freienstein-Teufen,http://www.wikidata.org/entity/Q680996,Bülach District,58,77,2371
http://www.wikidata.org/entity/Q65671,Hüttikon,http://www.wikidata.org/entity/Q660407,Dielsdorf district,58,80,925
http://www.wikidata.org/entity/Q65769,Ellikon an der Thur,http://www.wikidata.org/entity/Q644300,Winterthur District,58,75,903
http://www.wikidata.org/entity/Q65812,Brütten,http://www.wikidata.org/entity/Q644300,Winterthur District,58,81,2016
